route_id,route_name,ferry_name,ferry_id,terminal_departure,terminal_arrival,time_departure,cars_outbound,trucks_outbound,trucks_with_trailer_outbound,motorcycles_outbound,exemption_vehicles_outbound,pedestrians_outbound,buses_outbound,vehicles_left_at_terminal_outbound,cars_inbound,trucks_inbound,trucks_with_trailer_inbound,motorcycles_inbound,exemption_vehicles_inbound,pedestrians_inbound,buses_inbound,vehicles_left_at_terminal_inbound,trip_type,passenger_car_equivalent_outbound_and_inbound,tailored_trip,full_ferry_outbound,full_ferry_inbound,passenger_car_equivalent_outbound,passenger_car_equivalent_inbound,fuelcons_outbound_l,distance_outbound_nm,start_time_outbound,end_time_outbound,fuelcons_inbound_l,distance_inbound_nm,start_time_inbound,end_time_inbound,hour,minute,weekday,avg_fuel_outbound
21,Vaxholmsleden,Nina,296,Vaxholm                                           ,Rindö                                             ,2023-03-01 00:00:00,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,ordinary           ,1.0,0,0,0,0.0,1.0,,,,,,,,,0,0,2,0.0
21,Vaxholmsleden,Nina,296,Vaxholm                                           ,Rindö                                             ,2023-03-01 06:40:00,10,0,0,0,0,2,0,0,19,2,0,0,0,6,0,0,ordinary           ,34.0,0,0,0,10.0,24.0,4.076907834559344,,,,3.9597323274898986,,,,6,40,2,8.036640162049242
21,Vaxholmsleden,Nina,296,Vaxholm                                           ,Rindö                                             ,2023-03-01 07:00:00,3,2,0,0,0,0,0,0,18,1,0,0,0,10,0,0,ordinary           ,28.5,0,0,0,8.0,20.5,3.5170608646663637,,,,3.7213185664762123,,,,7,0,2,7.238379431142576
21,Vaxholmsleden,Nina,296,Vaxholm                                           ,Rindö                                             ,2023-03-01 07:20:00,4,1,0,0,0,1,0,0,11,3,0,0,0,6,0,0,ordinary           ,25.0,0,0,0,6.5,18.5,3.736298283775926,,,,3.6029153483711642,,,,7,20,2,7.33921363214709
21,Vaxholmsleden,Nina,296,Vaxholm                                           ,Rindö                                             ,2023-03-01 07:40:00,10,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,ordinary           ,31.0,0,0,0,19.0,12.0,3.868090610578836,,,,3.9599431277306882,,,,7,40,2,7.828033738309525
21,Vaxholmsleden,Nina,296,Vaxholm                                           ,Rindö                                             ,2023-03-01 08:00:00,9,2,0,0,0,0,0,0,19,1,0,0,0,11,0,0,ordinary           ,35.5,0,0,0,14.0,21.5,3.593967305156818,,,,3.742162001358586,,,,8,0,2,7.336129306515405
21,Vaxholmsleden,Nina,296,Vaxholm                                           ,Rindö                                             ,2023-03-01 08:20:00,12,0,0,0,0,1,0,0,18,2,0,0,0,6,0,0,ordinary           ,35.0,0,0,0,12.0,23.0,4.018791251313805,,,,4.149794618410438,,,,8,20,2,8.168585869724243
21,Vaxholmsleden,Nina,296,Vaxholm                                           ,Rindö                                             ,2023-03-01 08:40:00,10,2,0,0,0,1,0,0,24,1,0,0,0,8,0,0,ordinary           ,41.5,0,0,0,15.0,26.5,4.684062229049333,,,,4.206506672991555,,,,8,40,2,8.89056890204089
21,Vaxholmsleden,Nina,296,Vaxholm                                           ,Rindö                                             ,2023-03-01 09:00:00,18,7,0,0,0,2,0,0,29,0,0,0,0,6,0,0,ordinary           ,64.5,0,0,0,35.5,29.0,3.7468815292595155,,,,3.9842956611677898,,,,9,0,2,7.731177190427305
21,Vaxholmsleden,Nina,296,Vaxholm                                           ,Rindö                                             ,2023-03-01 10:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ordinary           ,0.0,0,0,0,0.0,0.0,4.003298693010622,,,,4.250718819478612,,,,10,30,2,8.254017512489234
