weekday,hour,minute,"number of occurences (if low, it was probably some special schedule)"
0,5,44,48
0,6,4,48
0,6,24,47
0,6,44,48
0,7,4,47
0,7,20,4
0,7,24,47
0,7,44,47
0,7,50,4
0,8,4,47
0,8,20,4
0,8,24,47
0,8,44,47
0,8,50,4
0,9,14,48
0,9,20,4
0,9,34,48
0,9,50,4
0,9,54,48
0,10,20,52
0,10,35,48
0,10,50,51
0,11,5,48
0,11,14,2
0,11,20,49
0,11,34,2
0,11,50,49
0,11,54,2
0,12,5,48
0,12,14,2
0,12,20,49
0,12,34,2
0,12,35,48
0,12,50,50
0,12,54,2
0,13,5,47
0,13,14,2
0,13,20,50
0,13,34,2
0,13,35,48
0,13,50,49
0,13,54,2
0,14,5,48
0,14,14,2
0,14,20,49
0,14,34,2
0,14,35,48
0,14,50,50
0,14,54,2
0,15,5,48
0,15,14,2
0,15,20,2
0,15,34,2
0,15,35,48
0,15,50,49
0,15,54,2
0,16,5,47
0,16,14,2
0,16,20,50
0,16,34,2
0,16,35,48
0,16,50,49
0,16,54,2
0,17,5,48
0,17,20,52
0,17,34,48
0,17,50,4
0,17,54,48
0,18,14,48
0,18,20,4
0,18,34,48
0,18,50,4
0,18,54,48
0,19,14,48
0,19,20,4
0,19,54,52
0,20,20,52
0,20,50,52
0,21,20,52
0,21,50,52
0,22,20,52
1,5,44,50
1,6,4,50
1,6,24,50
1,6,44,50
1,7,4,49
1,7,20,2
1,7,24,49
1,7,44,49
1,7,50,2
1,8,4,49
1,8,20,2
1,8,24,49
1,8,44,50
1,8,50,2
1,9,14,50
1,9,20,2
1,9,34,50
1,9,50,2
1,9,54,50
1,10,20,52
1,10,35,50
1,10,50,52
1,11,5,50
1,11,14,1
1,11,20,51
1,11,34,1
1,11,50,51
1,11,54,1
1,12,5,50
1,12,14,1
1,12,20,51
1,12,34,1
1,12,35,50
1,12,50,50
1,12,54,1
1,13,5,50
1,13,14,1
1,13,20,50
1,13,34,1
1,13,35,50
1,13,50,49
1,13,54,1
1,14,5,50
1,14,14,1
1,14,20,48
1,14,34,1
1,14,35,50
1,14,50,50
1,14,54,1
1,15,5,50
1,15,14,1
1,15,20,1
1,15,34,1
1,15,35,50
1,15,50,51
1,15,54,1
1,16,5,50
1,16,14,1
1,16,20,51
1,16,34,1
1,16,35,50
1,16,50,51
1,16,54,1
1,17,5,50
1,17,20,52
1,17,34,50
1,17,50,2
1,17,54,50
1,18,14,50
1,18,20,2
1,18,34,50
1,18,50,2
1,18,54,50
1,19,14,50
1,19,20,2
1,19,54,52
1,20,20,52
1,20,50,52
1,21,20,52
1,21,50,52
1,22,20,52
2,5,44,53
2,6,4,53
2,6,24,53
2,6,44,53
2,7,4,53
2,7,24,53
2,7,44,53
2,8,4,53
2,8,24,53
