weekday,hour,minute,"number of occurences (if low, it was probably some special schedule)"
0,0,0,43
0,1,0,39
0,2,0,51
0,4,30,48
0,5,0,50
0,5,30,50
0,6,0,50
0,6,30,51
0,7,0,50
0,7,30,51
0,7,45,46
0,8,0,49
0,8,30,51
0,9,0,48
0,9,30,50
0,10,0,50
0,10,30,48
0,11,0,48
0,11,30,49
0,12,0,50
0,12,45,48
0,13,0,50
0,13,30,50
0,14,0,49
0,14,30,50
0,15,0,50
0,15,30,49
0,16,0,49
0,16,30,48
0,17,0,50
0,17,30,47
0,18,0,51
0,18,30,50
0,19,0,51
0,19,30,49
0,20,0,51
0,20,30,51
0,21,0,51
0,21,30,50
0,22,0,50
0,22,30,49
0,23,0,46
0,23,30,39
1,0,0,36
1,1,0,38
1,2,0,48
1,4,30,51
1,5,0,50
1,5,30,50
1,6,0,50
1,6,30,51
1,7,0,50
1,7,30,51
1,7,45,48
1,8,0,51
1,8,30,50
1,9,0,50
1,9,30,51
1,10,0,51
1,10,30,50
1,11,0,49
1,11,30,47
1,12,0,50
1,12,45,46
1,13,0,50
1,13,30,49
1,14,0,47
1,14,30,50
1,15,0,50
1,15,30,50
1,16,0,51
1,16,30,48
1,17,0,49
1,17,30,47
1,18,0,51
1,18,30,50
1,19,0,49
1,19,30,50
1,20,0,50
1,20,30,50
1,21,0,50
1,21,30,50
1,22,0,47
1,22,30,49
1,23,0,46
1,23,30,38
2,0,0,38
2,1,0,41
2,2,0,51
2,4,30,51
2,5,0,51
2,5,30,51
2,6,0,50
2,6,30,51
2,7,0,50
2,7,30,50
2,7,45,50
2,8,0,50
2,8,30,50
2,9,0,50
2,9,30,51
2,10,0,50
2,10,30,50
2,11,0,49
2,11,30,50
2,12,0,48
2,12,45,51
2,13,0,50
2,13,30,51
2,14,0,51
2,14,30,48
2,15,0,50
2,15,30,49
2,16,0,51
2,16,30,48
2,17,0,50
2,17,30,50
2,18,0,50
2,18,30,51
2,19,0,51
2,19,30,51
2,20,0,51
2,20,30,50
2,21,0,51
2,21,30,48
2,22,0,50
2,22,30,50
2,23,0,47
2,23,30,44
3,0,0,43
3,1,0,40
3,2,0,51
3,4,30,51
3,5,0,50
3,5,30,52
3,6,0,51
3,6,30,51
3,7,0,51
3,7,30,52
3,7,45,50
3,8,0,51
3,8,30,52
3,9,0,50
3,9,30,51
3,10,0,52
3,10,30,50
3,11,0,52
3,11,30,52
3,12,0,50
3,12,45,52
3,13,0,52
3,13,30,49
3,14,0,49
3,14,30,50
3,15,0,50
3,15,30,50
3,16,0,50
3,16,1,1
3,16,30,51
3,17,0,50
3,17,30,51
3,18,0,50
3,18,30,51
3,19,0,51
3,19,30,52
3,20,0,51
3,20,30,50
3,21,0,50
3,21,30,52
3,22,0,50
3,22,30,52
3,23,0,47
3,23,30,47
4,0,0,42
4,1,0,46
4,2,0,51
4,4,30,50
4,5,0,51
4,5,30,51
4,6,0,50
4,6,30,51
4,7,0,50
4,7,30,51
4,7,45,49
4,8,0,51
4,8,30,51
4,9,0,51
4,9,30,51
4,10,0,50
4,10,30,48
4,11,0,52
4,11,30,51
4,12,0,49
4,12,45,50
4,13,0,50
4,13,30,49
4,13,31,1
4,14,0,49
4,14,30,51
4,15,0,50
4,15,30,48
4,16,0,49
4,16,30,48
4,17,0,51
4,17,30,50
4,18,0,50
4,18,30,52
4,19,0,52
4,19,30,51
4,20,0,52
4,20,30,51
4,21,0,50
4,21,30,51
4,22,0,51
4,22,30,52
4,23,0,51
4,23,30,52
5,0,0,48
5,1,0,47
5,2,0,51
5,4,30,39
5,5,0,31
5,5,30,46
5,6,0,50
5,6,30,51
5,7,0,52
5,7,30,50
5,8,0,52
5,8,30,51
5,9,0,51
5,9,30,50
5,10,0,52
5,10,30,51
5,11,0,52
5,11,30,50
5,12,0,51
5,12,45,50
5,13,0,51
5,13,30,51
5,14,0,51
5,14,30,50
5,15,0,51
5,15,30,51
5,16,0,51
5,16,30,51
5,17,0,50
5,17,30,52
5,18,0,52
5,18,30,52
5,19,0,52
5,19,30,50
5,20,0,51
5,20,30,52
5,21,0,52
5,21,30,52
5,22,0,52
5,22,30,49
5,23,0,47
5,23,30,44
6,0,0,46
6,1,0,49
6,2,0,51
6,4,30,49
6,5,0,34
6,5,30,41
6,6,0,49
6,6,30,46
6,7,0,52
6,7,30,52
6,8,0,51
6,8,30,52
6,9,0,52
6,9,30,51
6,10,0,52
6,10,30,51
6,11,0,50
6,11,30,50
6,12,0,49
6,12,45,50
6,13,0,50
6,13,30,50
6,14,0,48
6,14,30,51
6,15,0,47
6,15,30,48
6,16,0,48
6,16,30,49
6,17,0,48
6,17,30,51
6,18,0,51
6,18,30,48
6,19,0,51
6,19,30,49
6,20,0,51
6,20,30,49
6,21,0,49
6,21,30,49
6,22,0,51
6,22,30,44
6,23,0,45
6,23,30,41
