weekday,hour,minute,"number of occurences (if low, it was probably some special schedule)"
0,0,0,45
0,1,0,49
0,2,0,49
0,3,15,3
0,4,30,49
0,5,0,49
0,5,30,50
0,5,50,47
0,6,0,3
0,6,10,47
0,6,30,50
0,6,40,5
0,6,50,46
0,7,0,8
0,7,10,47
0,7,20,6
0,7,30,49
0,7,40,6
0,7,50,45
0,8,0,10
0,8,10,45
0,8,20,8
0,8,30,50
0,8,40,8
0,9,0,9
0,9,20,41
0,9,30,3
0,9,40,45
0,10,0,49
0,10,15,5
0,10,30,50
0,10,45,5
0,11,0,50
0,11,15,6
0,11,20,2
0,11,30,48
0,11,40,2
0,11,45,5
0,12,0,50
0,12,15,7
0,12,20,2
0,12,30,48
0,12,40,2
0,12,45,4
0,13,0,50
0,13,15,4
0,13,20,2
0,13,30,48
0,13,40,2
0,13,45,5
0,14,0,50
0,14,15,5
0,14,20,2
0,14,30,47
0,14,40,2
0,14,45,5
0,15,0,50
0,15,15,6
0,15,20,2
0,15,30,48
0,15,40,2
0,15,45,8
0,16,0,50
0,16,10,4
0,16,15,1
0,16,20,48
0,16,30,6
0,16,40,48
0,16,45,1
0,16,50,3
0,17,0,50
0,17,10,5
0,17,15,1
0,17,20,45
0,17,30,12
0,17,40,47
0,17,45,1
0,17,50,5
0,18,0,50
0,18,10,3
0,18,20,46
0,18,30,7
0,18,40,47
0,19,0,46
0,19,20,43
0,19,30,3
0,19,40,43
0,20,0,46
0,20,30,46
0,21,0,46
0,21,30,48
0,22,0,47
0,22,30,48
0,23,0,47
0,23,30,47
1,0,0,48
1,1,0,48
1,2,0,48
1,3,15,2
1,4,30,49
1,5,0,50
1,5,30,49
1,5,50,48
1,6,0,2
1,6,10,48
1,6,30,50
1,6,40,7
1,6,50,48
1,7,0,9
1,7,10,48
1,7,20,5
1,7,30,48
1,7,40,8
1,7,50,48
1,8,0,8
1,8,10,47
1,8,20,9
1,8,30,50
1,8,40,5
1,9,0,9
1,9,20,42
1,9,30,2
1,9,40,45
1,10,0,47
1,10,15,6
1,10,30,48
1,10,45,7
1,11,0,46
1,11,15,6
1,11,20,1
1,11,30,49
1,11,40,1
1,11,45,5
1,12,0,49
1,12,15,9
1,12,20,1
1,12,30,48
1,12,40,1
1,12,45,7
1,13,0,50
1,13,15,6
1,13,20,1
1,13,30,49
1,13,40,1
1,13,45,6
1,14,0,50
1,14,15,5
1,14,20,1
1,14,30,48
1,14,40,1
1,14,45,7
1,15,0,49
1,15,15,7
1,15,20,1
1,15,30,49
1,15,40,1
1,15,45,5
1,16,0,50
1,16,10,7
1,16,20,49
1,16,30,9
1,16,40,49
1,16,50,5
1,17,0,50
1,17,10,9
1,17,20,49
1,17,30,9
1,17,40,48
1,17,50,6
1,18,0,50
1,18,10,3
1,18,20,48
1,18,30,7
1,18,40,49
1,19,0,46
1,19,20,44
1,19,30,2
1,19,40,45
1,20,0,46
1,20,30,47
1,21,0,47
1,21,30,47
1,22,0,47
1,22,30,47
1,23,0,47
1,23,30,47
2,0,0,51
2,1,0,48
2,2,0,49
2,4,30,50
2,5,0,49
2,5,30,50
2,5,50,50
2,6,10,50
2,6,30,50
2,6,40,6
2,6,50,50
2,7,0,5
2,7,10,50
2,7,20,5
2,7,30,49
2,7,40,4
2,7,50,50
2,8,0,6
2,8,10,50
2,8,20,4
2,8,30,50
2,8,40,8
2,9,0,8
2,9,20,42
2,9,40,43
2,10,0,46
2,10,15,4
2,10,30,49
2,10,45,7
2,11,0,47
2,11,15,6
2,11,30,49
2,11,45,6
2,12,0,49
2,12,15,5
2,12,30,50
2,12,45,4
2,13,0,48
2,13,15,5
2,13,30,51
2,13,45,4
2,14,0,50
2,14,15,6
2,14,30,51
2,14,45,9
2,15,0,51
2,15,15,5
2,15,30,51
2,15,45,4
2,16,0,51
2,16,10,4
2,16,20,51
2,16,30,3
2,16,40,51
2,16,50,5
2,17,0,50
2,17,10,4
2,17,20,51
2,17,30,3
2,17,40,50
2,17,50,5
2,18,0,49
2,18,10,3
2,18,20,51
2,18,30,1
2,18,40,50
2,19,0,47
2,19,20,47
2,19,40,47
2,20,0,47
2,20,30,47
2,21,0,48
2,21,30,48
2,22,0,49
2,22,30,50
2,23,0,50
2,23,30,50
3,0,0,48
3,1,0,50
3,2,0,51
3,3,15,1
3,4,30,50
3,5,0,50
3,5,30,51
3,5,50,50
3,6,0,1
3,6,10,50
3,6,30,50
3,6,40,7
3,6,50,50
3,7,0,10
3,7,10,50
3,7,20,8
3,7,30,51
3,7,40,7
3,7,50,50
3,8,0,11
3,8,10,50
3,8,20,11
3,8,30,50
3,8,40,7
3,9,0,9
3,9,20,43
3,9,30,1
3,9,40,47
3,10,0,48
3,10,15,8
3,10,30,51
3,10,45,10
3,11,0,49
3,11,15,8
3,11,30,49
3,11,45,7
3,12,0,50
3,12,15,6
3,12,30,49
3,12,45,7
3,13,0,50
3,13,15,8
3,13,30,50
3,13,45,5
3,14,0,52
3,14,15,5
3,14,30,50
3,14,45,8
3,15,0,50
3,15,15,9
3,15,30,50
3,15,45,6
3,16,0,51
3,16,10,5
3,16,20,50
3,16,30,8
3,16,40,49
3,16,50,8
3,17,0,51
3,17,10,6
3,17,20,50
3,17,30,9
3,17,40,50
3,17,50,4
3,18,0,51
3,18,10,4
3,18,20,50
3,18,30,6
3,18,40,50
3,19,0,44
3,19,20,42
3,19,30,1
3,19,40,42
3,20,0,44
3,20,30,43
3,21,0,44
3,21,30,45
3,22,0,44
3,22,30,44
3,23,0,44
3,23,30,44
4,0,0,46
4,1,0,46
4,2,0,47
4,3,15,1
4,4,30,47
4,5,0,49
4,5,30,48
4,5,50,47
4,6,0,1
4,6,10,47
4,6,30,48
4,6,40,6
4,6,50,47
4,7,0,7
4,7,10,46
4,7,20,6
4,7,30,48
4,7,40,5
4,7,50,47
4,8,0,6
4,8,10,47
4,8,20,6
4,8,30,46
4,8,40,9
4,9,0,7
4,9,20,42
4,9,30,2
4,9,40,46
4,10,0,49
4,10,15,10
4,10,30,49
4,10,45,7
4,11,0,50
4,11,15,9
4,11,30,48
4,11,45,9
4,12,0,49
4,12,15,7
4,12,30,49
4,12,45,9
4,13,0,49
4,13,15,6
4,13,30,49
4,13,45,7
4,14,0,49
4,14,15,7
4,14,30,50
4,14,45,8
4,15,0,49
4,15,15,8
4,15,30,50
4,15,45,8
4,16,0,48
4,16,10,7
4,16,20,48
4,16,30,10
4,16,40,47
4,16,50,8
4,17,0,49
4,17,10,6
4,17,20,48
4,17,30,9
4,17,40,48
4,17,50,7
4,18,0,48
4,18,10,10
4,18,20,48
4,18,30,10
4,18,40,49
4,19,0,47
4,19,20,46
4,19,30,1
4,19,40,46
4,20,0,47
4,20,30,48
4,21,0,49
4,21,30,48
4,22,0,48
4,22,30,48
4,23,0,49
4,23,30,49
5,0,0,49
5,1,0,48
5,2,0,48
5,3,15,48
5,4,30,49
5,5,0,48
5,5,30,48
5,6,0,48
5,6,30,48
5,7,0,48
5,7,30,48
5,8,0,49
5,8,30,50
5,9,0,51
5,9,30,51
5,10,0,52
5,10,15,4
5,10,30,52
5,10,45,4
5,11,0,52
5,11,15,2
5,11,20,11
5,11,30,40
5,11,40,11
5,11,45,3
5,12,0,52
5,12,15,3
5,12,20,11
5,12,30,41
5,12,40,11
5,12,45,3
5,13,0,51
5,13,15,5
5,13,20,11
5,13,30,39
5,13,40,11
5,13,45,4
5,14,0,52
5,14,15,4
5,14,20,11
5,14,30,41
5,14,40,11
5,14,45,4
5,15,0,52
5,15,15,4
5,15,20,11
5,15,30,40
5,15,40,11
5,15,45,6
5,16,0,52
5,16,15,4
5,16,20,11
5,16,30,40
5,16,40,11
5,16,45,5
5,17,0,52
5,17,15,4
5,17,30,52
5,17,45,1
5,18,0,52
5,18,30,51
5,19,0,51
5,19,30,51
5,20,0,51
5,20,30,51
5,21,0,51
5,21,30,51
5,22,0,51
5,22,30,51
5,23,0,50
5,23,30,51
6,0,0,52
6,1,0,50
6,2,0,50
6,3,0,1
6,3,15,51
6,4,30,51
6,5,0,51
6,5,30,50
6,6,0,51
6,6,30,50
6,7,0,50
6,7,30,50
6,8,0,50
6,8,30,50
6,9,0,50
6,9,30,50
6,10,0,50
6,10,15,3
6,10,30,50
6,10,45,3
6,11,0,51
6,11,15,4
6,11,20,10
6,11,30,40
6,11,40,10
6,11,45,4
6,12,0,50
6,12,15,7
6,12,20,10
6,12,30,40
6,12,40,10
6,12,45,4
6,13,0,50
6,13,15,3
6,13,20,10
6,13,30,40
6,13,40,10
6,13,45,5
6,14,0,50
6,14,15,3
6,14,20,10
6,14,30,40
6,14,40,10
6,14,45,3
6,15,0,50
6,15,15,2
6,15,20,10
6,15,30,40
6,15,40,10
6,15,45,4
6,16,0,50
6,16,15,2
6,16,20,10
6,16,30,40
6,16,40,10
6,16,45,3
6,17,0,50
6,17,15,3
6,17,30,50
6,17,45,4
6,18,0,50
6,18,30,50
6,19,0,49
6,19,30,49
6,20,0,49
6,20,30,49
6,21,0,49
6,21,30,49
6,22,0,48
6,22,30,49
6,23,0,49
6,23,30,50
